City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
13,Rikitea,PF,78.4,overcast clouds,-23.1203,-134.9692,People ThankYou
14,Rio Cuarto,AR,82.17,scattered clouds,-33.1307,-64.3499,Grand Hotel Río Cuarto
15,Axim,GH,81.91,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
16,Busselton,AU,79.09,broken clouds,-33.65,115.3333,Observatory Guest House
17,Butaritari,KI,81.7,broken clouds,3.0707,172.7902,Isles Sunset Lodge
18,Kathu,TH,78.62,clear sky,7.9178,98.3332,Novotel Phuket Resort
20,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
22,Beloha,MG,71.46,overcast clouds,-25.1667,45.05,
24,Port Alfred,ZA,76.14,clear sky,-33.5906,26.891,The Halyards Hotel
25,Bechem,GH,82.08,broken clouds,7.0903,-2.025,Orange Hotel
30,Gwadar,PK,73.47,clear sky,25.1216,62.3254,Sadaf Resort
32,Yulara,AU,73.24,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
33,The Valley,AI,82.54,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
34,Castro,BR,81.52,few clouds,-24.7911,-50.0119,CHACARA BAILLY
36,Arraial Do Cabo,BR,87.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
37,Souillac,MU,81.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
38,Suclayin,PH,71.58,overcast clouds,15.7568,121.5503,Costa Pacifica
39,Dalaba,GN,76.96,broken clouds,10.7,-12.25,Hôtel Tangama
42,Tuy Hoa,VN,71.28,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
43,Atuona,PF,78.64,broken clouds,-9.8,-139.0333,Villa Enata
44,Jamame,SO,78.12,few clouds,0.0722,42.7506,
47,Saint-Philippe,RE,80.15,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
49,Quelimane,MZ,73.56,scattered clouds,-17.8786,36.8883,Hotel Flamingo
51,Kudahuvadhoo,MV,81.41,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
52,Nkhotakota,MW,73.49,light rain,-12.9274,34.2961,Sitima Inn
53,Pak Phanang,TH,77.49,few clouds,8.3511,100.202,Green Park Inn Hotel
63,East London,ZA,79.74,clear sky,-33.0153,27.9116,Tu Casa
67,Cape Town,ZA,71.28,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
69,Quatre Cocos,MU,81.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
70,Faanui,PF,81.32,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
71,Hithadhoo,MV,82.44,broken clouds,-0.6,73.0833,Scoop Guest House
78,Pitimbu,BR,88.39,clear sky,-7.4706,-34.8086,Reserva do Abiaí
79,Vaini,TO,81.61,clear sky,-21.2,-175.2,Keleti Beach Resort
80,Mount Isa,AU,76.77,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
87,Isangel,VU,78.93,broken clouds,-19.55,169.2667,Tanna Lodge
89,Santiago,CL,83.28,scattered clouds,-33.4569,-70.6483,Che Lagarto Hostel Santiago
90,Cabo San Lucas,MX,76.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
