City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,55.06,85,4,1.01,clear sky
1,Deputatskiy,RU,69.3,139.9,-21.35,73,68,3.42,broken clouds
2,Avarua,CK,-21.2078,-159.775,78.85,89,75,13.8,broken clouds
3,Dikson,RU,73.5069,80.5464,4.48,93,100,17.0,light snow
4,Fortuna,US,40.5982,-124.1573,49.93,97,20,5.01,few clouds
5,Henties Bay,NA,-22.116,14.2845,71.85,84,63,5.61,broken clouds
6,La Ronge,CA,55.1001,-105.2842,-5.58,71,75,8.05,broken clouds
7,Kahului,US,20.8947,-156.47,69.84,88,1,6.91,clear sky
8,Hermanus,ZA,-34.4187,19.2345,69.91,78,0,4.81,clear sky
9,Rio Grande,BR,-32.035,-52.0986,93.31,73,13,15.39,few clouds
10,Qaanaaq,GL,77.484,-69.3632,5.0,60,99,7.45,overcast clouds
11,Albany,US,42.6001,-73.9662,29.44,57,69,4.0,broken clouds
12,Geraldton,AU,-28.7667,114.6,68.41,73,0,4.61,clear sky
13,Rikitea,PF,-23.1203,-134.9692,78.4,75,100,9.33,overcast clouds
14,Rio Cuarto,AR,-33.1307,-64.3499,82.17,61,40,16.11,scattered clouds
15,Axim,GH,4.8699,-2.2405,81.91,61,70,6.91,broken clouds
16,Busselton,AU,-33.65,115.3333,79.09,63,56,9.04,broken clouds
17,Butaritari,KI,3.0707,172.7902,81.7,75,73,17.63,broken clouds
18,Kathu,TH,7.9178,98.3332,78.62,74,7,8.08,clear sky
19,Barrow,US,71.2906,-156.7887,-18.38,69,100,6.91,snow
20,Mahebourg,MU,-20.4081,57.7,80.89,89,40,4.61,scattered clouds
21,Lubumbashi,CD,-11.6609,27.4794,64.33,95,84,2.53,broken clouds
22,Beloha,MG,-25.1667,45.05,71.46,76,100,11.68,overcast clouds
23,Muncie,US,40.1934,-85.3864,23.67,71,100,8.05,overcast clouds
24,Port Alfred,ZA,-33.5906,26.891,76.14,86,5,9.08,clear sky
25,Bechem,GH,7.0903,-2.025,82.08,23,77,2.59,broken clouds
26,Punta Arenas,CL,-53.15,-70.9167,69.82,45,0,6.91,clear sky
27,Gavle,SE,60.6745,17.1417,34.5,67,8,8.01,clear sky
28,Partizansk,RU,43.1258,133.1339,-0.78,85,6,6.15,clear sky
29,Seoul,KR,37.5683,126.9778,20.64,86,0,2.3,clear sky
30,Gwadar,PK,25.1216,62.3254,73.47,83,1,18.92,clear sky
31,Bethel,US,41.3712,-73.414,33.08,79,100,1.99,overcast clouds
32,Yulara,AU,-25.2406,130.9889,73.24,78,56,12.66,broken clouds
33,The Valley,AI,18.217,-63.0578,82.54,65,40,16.11,scattered clouds
34,Castro,BR,-24.7911,-50.0119,81.52,58,19,3.65,few clouds
35,Port Macquarie,AU,-31.4333,152.9167,64.36,77,99,11.12,overcast clouds
36,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,74,0,20.71,clear sky
37,Souillac,MU,-20.5167,57.5167,81.36,89,40,4.61,scattered clouds
38,Suclayin,PH,15.7568,121.5503,71.58,96,99,3.69,overcast clouds
39,Dalaba,GN,10.7,-12.25,76.96,14,58,5.35,broken clouds
40,Shubarshi,KZ,48.5872,57.1869,10.74,87,100,6.58,overcast clouds
41,Kuryk,KZ,43.2,51.65,32.9,92,100,21.27,light snow
42,Tuy Hoa,VN,13.0833,109.3,71.28,88,65,5.61,broken clouds
43,Atuona,PF,-9.8,-139.0333,78.64,76,64,24.05,broken clouds
44,Jamame,SO,0.0722,42.7506,78.12,81,21,10.98,few clouds
45,Ushuaia,AR,-54.8,-68.3,67.62,34,3,4.68,clear sky
46,Embonas,GR,36.2269,27.8564,44.83,70,26,3.91,scattered clouds
47,Saint-Philippe,RE,-21.3585,55.7679,80.15,82,66,5.08,broken clouds
48,Lavrentiya,RU,65.5833,-171.0,-21.21,92,26,9.19,scattered clouds
49,Quelimane,MZ,-17.8786,36.8883,73.56,85,44,5.84,scattered clouds
50,Ilulissat,GL,69.2167,-51.1,21.22,86,100,8.05,light snow
51,Kudahuvadhoo,MV,2.6708,72.8944,81.41,70,57,6.93,broken clouds
52,Nkhotakota,MW,-12.9274,34.2961,73.49,83,36,1.86,light rain
53,Pak Phanang,TH,8.3511,100.202,77.49,78,17,8.46,few clouds
54,Severo-Kurilsk,RU,50.6789,156.125,30.11,78,100,28.3,overcast clouds
55,Mataura,NZ,-46.1927,168.8643,54.48,96,100,7.47,light rain
56,Ketchikan,US,55.3422,-131.6461,42.78,93,100,0.0,overcast clouds
57,Ponta Do Sol,PT,32.6667,-17.1,68.13,41,100,16.89,overcast clouds
