City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2022-01-19 05:57:42,-46.1927,168.8643,56.48,96,99,7.7
1,Bud,US,2022-01-19 05:57:42,39.447,-86.1758,44.69,74,99,16.08
2,Bluff,NZ,2022-01-19 05:57:43,-46.6,168.3333,56.8,61,71,22.03
3,Jamestown,US,2022-01-19 05:54:53,42.097,-79.2353,28.71,60,100,5.99
4,Bousso,TD,2022-01-19 05:57:43,10.4795,16.7117,59.81,24,31,9.04
5,Cape Town,ZA,2022-01-19 05:57:44,-33.9258,18.4232,66.11,69,0,1.99
6,Port Alfred,ZA,2022-01-19 05:57:44,-33.5906,26.891,69.3,69,52,13.42
7,East London,ZA,2022-01-19 05:57:45,-33.0153,27.9116,70.74,73,0,13.8
8,Ilulissat,GL,2022-01-19 05:57:45,69.2167,-51.1,20.32,81,100,7.92
9,Avarua,CK,2022-01-19 05:55:16,-21.2078,-159.775,77.05,94,75,23.02
10,Talnakh,RU,2022-01-19 05:57:46,69.4865,88.3972,5.49,94,100,17.83
11,Vardo,NO,2022-01-19 05:57:46,70.3705,31.1107,34.0,80,100,17.58
12,Punta Arenas,CL,2022-01-19 05:57:47,-53.15,-70.9167,50.11,76,20,20.71
13,Oxford,GB,2022-01-19 05:57:47,51.7522,-1.256,41.22,99,49,8.03
14,Diamantino,BR,2022-01-19 05:56:42,-14.4086,-56.4461,71.01,91,52,4.56
15,Ushuaia,AR,2022-01-19 05:57:48,-54.8,-68.3,44.26,87,75,18.41
16,Aswan,EG,2022-01-19 05:57:48,24.0934,32.907,43.9,56,0,8.05
17,Atuona,PF,2022-01-19 05:57:49,-9.8,-139.0333,79.05,74,25,23.24
18,Nhulunbuy,AU,2022-01-19 05:55:15,-12.2333,136.7667,90.21,62,75,12.66
19,Puerto Ayora,EC,2022-01-19 05:57:49,-0.7393,-90.3518,72.43,88,59,4.25
20,Mayo,US,2022-01-19 05:57:50,38.8876,-76.5119,32.11,77,0,7.7
21,Provideniya,RU,2022-01-19 05:57:50,64.3833,-173.3,-10.21,93,6,4.54
22,Saskylakh,RU,2022-01-19 05:57:51,71.9167,114.0833,-4.49,94,57,11.43
23,Tiksi,RU,2022-01-19 05:57:51,71.6872,128.8694,1.02,68,100,17.52
24,Palmer,US,2022-01-19 05:57:52,42.1584,-72.3287,19.44,71,18,5.01
25,Rikitea,PF,2022-01-19 05:57:52,-23.1203,-134.9692,78.17,74,100,13.22
26,Charters Towers,AU,2022-01-19 05:57:52,-20.1,146.2667,91.51,32,100,3.62
27,Broome,US,2022-01-19 05:57:53,42.2506,-75.833,19.9,90,70,8.01
28,Bambous Virieux,MU,2022-01-19 05:57:53,-20.3428,57.7575,85.21,84,40,1.14
29,Lebu,CL,2022-01-19 05:57:54,-37.6167,-73.65,53.6,87,48,12.03
30,Torres,BR,2022-01-19 05:57:54,-29.3353,-49.7269,75.83,85,73,3.51
31,Balkanabat,TM,2022-01-19 05:57:55,39.5108,54.3671,43.32,47,2,8.41
32,Khatanga,RU,2022-01-19 05:57:55,71.9667,102.5,-9.2,99,100,1.97
33,Loiza,PR,2022-01-19 05:57:56,18.4313,-65.8802,74.97,88,8,7.47
34,Tomatlan,MX,2022-01-19 05:57:56,19.9333,-105.25,66.52,94,24,2.8
35,Tupaciguara,BR,2022-01-19 05:57:56,-18.5922,-48.705,67.12,88,100,5.28
36,Gobabis,NA,2022-01-19 05:57:57,-22.45,18.9667,68.68,73,97,9.26
37,Busselton,AU,2022-01-19 05:57:58,-33.65,115.3333,108.05,32,0,13.06
38,Touros,BR,2022-01-19 05:57:58,-5.1989,-35.4608,76.1,76,41,12.12
39,Albany,US,2022-01-19 05:57:34,42.6001,-73.9662,13.8,81,46,1.95
40,San Patricio,US,2022-01-19 05:57:59,28.017,-97.5169,69.89,80,6,13.0
41,Resistencia,AR,2022-01-19 05:57:59,-27.4606,-58.9839,82.09,76,0,4.61
42,Hamilton,US,2022-01-19 05:56:51,39.1834,-84.5333,39.31,83,99,3.0
43,Tazovskiy,RU,2022-01-19 05:58:00,67.4667,78.7,-4.14,98,98,6.2
44,Rafraf,TN,2022-01-19 05:58:00,37.1904,10.1837,43.11,70,44,3.42
45,Shimoda,JP,2022-01-19 05:58:01,34.6667,138.95,44.96,89,99,4.88
46,Port Elizabeth,ZA,2022-01-19 05:57:56,-33.918,25.5701,70.11,72,40,16.11
47,Ulaangom,MN,2022-01-19 05:59:02,49.9811,92.0667,0.1,91,64,2.21
48,Hobart,AU,2022-01-19 05:54:46,-42.8794,147.3294,69.12,60,20,1.99
49,Golden,US,2022-01-19 05:57:00,39.7555,-105.2211,39.88,50,40,3.0
50,Aosta,IT,2022-01-19 05:59:03,45.7667,7.4167,25.99,61,0,1.07
51,Torbay,CA,2022-01-19 05:59:03,47.6666,-52.7314,40.57,94,75,13.8
52,Kodiak,US,2022-01-19 05:59:03,57.79,-152.4072,35.11,93,100,11.5
53,Vila Franca Do Campo,PT,2022-01-19 05:59:04,37.7167,-25.4333,60.19,88,100,8.63
54,Salina Cruz,MX,2022-01-19 05:59:05,16.1667,-95.2,71.37,71,36,9.4
55,Kayes,ML,2022-01-19 05:59:05,14.0,-11.0,71.46,10,0,11.23
56,Pangody,RU,2022-01-19 05:59:06,65.85,74.4859,-4.02,98,100,3.69
57,Boyolangu,ID,2022-01-19 05:59:06,-8.1181,111.8935,84.42,72,77,8.68
58,Havre-Saint-Pierre,CA,2022-01-19 05:59:06,50.2334,-63.5986,10.76,61,100,17.27
59,Simdega,IN,2022-01-19 05:59:07,22.6167,84.5167,69.31,26,0,1.16
60,Souillac,MU,2022-01-19 05:59:07,-20.5167,57.5167,86.36,84,40,1.14
61,Carnarvon,AU,2022-01-19 05:59:08,-24.8667,113.6333,86.07,66,0,14.97
62,Airai,TL,2022-01-19 05:59:08,-8.9266,125.4092,62.6,98,100,1.68
63,Bonthe,SL,2022-01-19 05:59:09,7.5264,-12.505,75.02,92,20,4.56
64,Arraial Do Cabo,BR,2022-01-19 05:59:09,-22.9661,-42.0278,75.72,93,6,19.75
65,Nome,US,2022-01-19 05:59:10,64.5011,-165.4064,-17.84,75,3,7.43
66,Vostok,RU,2022-01-19 05:59:10,46.4856,135.8833,4.57,90,98,3.6
67,Ancud,CL,2022-01-19 05:59:12,-41.8697,-73.8203,53.13,69,8,2.59
