City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2022-01-18 21:46:56,-33.65,115.3333,81.05,34,23,13.51
1,Bluff,NZ,2022-01-18 21:46:57,-46.6,168.3333,54.81,85,100,15.01
2,Rosarito,MX,2022-01-18 21:46:57,32.3333,-117.0333,66.78,72,73,4.23
3,Jamestown,US,2022-01-18 21:44:19,42.097,-79.2353,29.52,61,100,5.99
4,Sitka,US,2022-01-18 21:45:11,57.0531,-135.33,35.89,85,100,3.18
5,Namibe,AO,2022-01-18 21:46:58,-15.1961,12.1522,69.67,79,79,5.28
6,Sakaiminato,JP,2022-01-18 21:46:59,35.55,133.2333,33.78,100,75,3.44
7,Visby,SE,2022-01-18 21:46:59,57.6409,18.296,37.76,93,31,18.41
8,Dikson,RU,2022-01-18 21:47:00,73.5069,80.5464,-6.41,100,74,8.19
9,Longyearbyen,SJ,2022-01-18 21:47:00,78.2186,15.6401,13.84,73,75,27.63
10,Mataura,NZ,2022-01-18 21:47:00,-46.1927,168.8643,54.48,99,99,7.54
11,Hithadhoo,MV,2022-01-18 21:47:01,-0.6,73.0833,82.4,74,100,8.84
12,Jurado,CO,2022-01-18 21:47:02,7.1053,-77.7641,80.62,83,85,1.25
13,Pierre,US,2022-01-18 21:45:03,44.3683,-100.351,36.52,55,40,4.0
14,Vaini,TO,2022-01-18 21:47:02,-21.2,-175.2,81.7,83,5,17.63
15,Punta Arenas,CL,2022-01-18 21:45:34,-53.15,-70.9167,59.11,63,0,20.71
16,Qaanaaq,GL,2022-01-18 21:47:03,77.484,-69.3632,-13.31,62,25,10.58
17,Launceston,AU,2022-01-18 21:47:04,-41.45,147.1667,60.8,60,40,8.01
18,Asau,RO,2022-01-18 21:47:04,46.4333,26.4,31.39,70,4,6.46
19,Itoman,JP,2022-01-18 21:47:05,26.1247,127.6694,59.02,72,75,9.22
20,Esil,KZ,2022-01-18 21:47:05,51.9556,66.4042,-4.29,100,99,5.99
21,Kulpahar,IN,2022-01-18 21:47:06,25.3167,79.65,47.16,37,0,3.71
22,Mahina,PF,2022-01-18 21:47:06,-17.5065,-149.489,80.37,78,75,10.36
23,Nhulunbuy,AU,2022-01-18 21:47:06,-12.2333,136.7667,81.21,89,100,5.75
24,Independence,US,2022-01-18 21:47:07,39.0911,-94.4155,56.48,45,0,11.5
25,Rikitea,PF,2022-01-18 21:47:07,-23.1203,-134.9692,77.77,79,98,15.66
26,Port Elizabeth,ZA,2022-01-18 21:47:08,-33.918,25.5701,70.09,78,75,17.27
27,Port Alfred,ZA,2022-01-18 21:47:08,-33.5906,26.891,71.04,86,71,14.79
28,Mehamn,NO,2022-01-18 21:47:09,71.0357,27.8492,35.55,87,75,26.46
29,Butaritari,KI,2022-01-18 21:47:09,3.0707,172.7902,82.0,79,16,17.43
30,Sao Joao Da Barra,BR,2022-01-18 21:45:56,-21.6403,-41.0511,84.29,87,1,14.56
31,Arraial Do Cabo,BR,2022-01-18 21:44:16,-22.9661,-42.0278,80.56,83,0,18.41
32,Adeje,ES,2022-01-18 21:47:10,28.1227,-16.726,67.98,50,20,11.5
33,Abu Samrah,SY,2022-01-18 21:47:11,35.3029,37.1841,45.32,73,77,20.36
34,Pochutla,MX,2022-01-18 21:47:11,15.7432,-96.4661,84.02,48,43,5.79
35,Praia Da Vitoria,PT,2022-01-18 21:44:51,38.7333,-27.0667,60.76,100,75,5.66
36,Kuching,MY,2022-01-18 21:43:07,1.55,110.3333,75.42,100,20,1.14
37,Tuktoyaktuk,CA,2022-01-18 21:47:12,69.4541,-133.0374,-20.2,76,100,8.05
38,Clyde River,CA,2022-01-18 21:47:12,70.4692,-68.5914,-7.37,77,100,21.85
39,Ponta Do Sol,PT,2022-01-18 21:47:13,32.6667,-17.1,66.0,92,96,15.43
40,Cherskiy,RU,2022-01-18 21:47:13,68.75,161.3,-47.02,100,95,4.59
41,Koboko,UG,2022-01-18 21:47:14,3.4136,30.9599,61.83,74,92,2.8
42,Jalu,LY,2022-01-18 21:47:14,29.0331,21.5482,53.02,74,14,9.42
43,Carnarvon,AU,2022-01-18 21:47:15,-24.8667,113.6333,75.27,78,1,5.75
44,Kabinda,CD,2022-01-18 21:47:15,-6.1333,24.4833,65.79,96,100,3.27
45,Zyryanka,RU,2022-01-18 21:48:16,65.75,150.85,-41.84,99,61,5.59
46,Mount Gambier,AU,2022-01-18 21:45:38,-37.8333,140.7667,60.71,77,40,17.27
47,Yellowknife,CA,2022-01-18 21:46:36,62.456,-114.3525,-23.71,75,0,2.3
48,Hilo,US,2022-01-18 21:48:17,19.7297,-155.09,79.79,77,100,9.22
49,Japura,ID,2022-01-18 21:48:17,-0.3167,102.35,72.36,96,96,2.1
50,Ushuaia,AR,2022-01-18 21:47:16,-54.8,-68.3,51.46,76,75,39.12
51,East London,ZA,2022-01-18 21:48:18,-33.0153,27.9116,71.51,88,74,16.06
52,Saint-Philippe,RE,2022-01-18 21:48:18,-21.3585,55.7679,80.19,85,93,3.47
53,Baruun-Urt,MN,2022-01-18 21:48:19,46.6806,113.2792,-6.43,93,99,3.67
54,Albany,US,2022-01-18 21:45:05,42.6001,-73.9662,22.87,60,62,1.99
55,Nizhneivkino,RU,2022-01-18 21:48:20,58.194,49.5214,21.18,96,100,5.93
56,Kodiak,US,2022-01-18 21:48:20,57.79,-152.4072,36.91,87,100,9.22
57,Monte Alegre,BR,2022-01-18 21:48:20,-2.0078,-54.0692,81.77,68,66,3.87
58,Broken Hill,AU,2022-01-18 21:48:21,-31.95,141.4333,64.11,72,100,18.41
59,Chicama,PE,2022-01-18 21:48:22,-7.8447,-79.1469,72.14,64,39,9.22
60,Morehead,US,2022-01-18 21:48:22,37.2711,-87.1764,49.1,63,0,1.01
61,Hobart,AU,2022-01-18 21:45:32,-42.8794,147.3294,58.26,71,75,1.01
62,Tura,IN,2022-01-18 21:48:23,25.5198,90.2201,57.02,69,96,2.91
63,Atuona,PF,2022-01-18 21:48:24,-9.8,-139.0333,78.73,73,52,22.97
64,Alice Springs,AU,2022-01-18 21:48:24,-23.7,133.8833,71.22,85,100,1.01
65,Denpasar,ID,2022-01-18 21:48:25,-8.65,115.2167,78.46,88,40,3.44
66,Coquimbo,CL,2022-01-18 21:48:25,-29.9533,-71.3436,67.73,55,0,13.8
67,Northam,GB,2022-01-18 21:48:26,51.0333,-4.2167,47.08,89,15,6.85
68,San Patricio,US,2022-01-18 21:48:26,28.017,-97.5169,81.28,50,24,16.26
69,Milos,GR,2022-01-18 21:48:26,36.75,24.4333,50.99,50,5,19.82
70,Tyup,KG,2022-01-18 21:48:27,42.7276,78.3648,25.47,75,79,3.4
71,Caravelas,BR,2022-01-18 21:48:27,-17.7125,-39.2481,77.47,86,64,5.84
72,Norman Wells,CA,2022-01-18 21:48:28,65.282,-126.8329,-21.96,69,20,3.44
73,Sept-Iles,CA,2022-01-18 21:48:28,50.2001,-66.3821,16.32,72,100,7.0
74,Puerto Ayora,EC,2022-01-18 21:47:15,-0.7393,-90.3518,82.36,74,94,9.37
75,Leningradskiy,RU,2022-01-18 21:48:29,69.3833,178.4167,-26.07,92,62,7.85
76,Slonim,BY,2022-01-18 21:48:29,53.0867,25.3219,26.71,88,66,5.91
77,Faanui,PF,2022-01-18 21:48:30,-16.4833,-151.75,75.18,89,100,23.38
78,Katoro,TZ,2022-01-18 21:48:30,-3.0203,31.8958,63.28,96,100,9.19
79,New Norfolk,AU,2022-01-18 21:48:31,-42.7826,147.0587,57.92,61,5,1.01
80,Fruitvale,US,2022-01-18 21:48:31,39.0817,-108.4968,47.89,60,40,3.0
81,Pisco,PE,2022-01-18 21:48:32,-13.7,-76.2167,77.05,69,0,6.91
82,Ilulissat,GL,2022-01-18 21:48:33,69.2167,-51.1,12.22,40,100,14.97
83,Iqaluit,CA,2022-01-18 21:48:33,63.7506,-68.5145,-11.31,76,100,23.0
84,Avarua,CK,2022-01-18 21:48:33,-21.2078,-159.775,82.45,78,40,20.71
85,Lagoa,PT,2022-01-18 21:47:18,39.05,-27.9833,58.23,84,100,7.54
86,Mecca,SA,2022-01-18 21:43:47,21.4267,39.8261,62.04,59,0,7.4
87,Ukiah,US,2022-01-18 21:48:34,39.1502,-123.2078,63.03,56,0,0.0
88,Bundaberg,AU,2022-01-18 21:48:35,-24.85,152.35,81.21,76,40,1.01
89,Vatne,NO,2022-01-18 21:48:35,62.5667,6.65,44.78,82,100,14.41
90,Marrakesh,MA,2022-01-18 21:46:37,31.6315,-8.0083,55.47,41,0,3.44
91,Presidencia Roque Saenz Pena,AR,2022-01-18 21:48:36,-26.7852,-60.4388,101.37,23,83,5.32
92,Mar Del Plata,AR,2022-01-18 21:45:05,-38.0023,-57.5575,69.1,81,100,5.01
93,Chokurdakh,RU,2022-01-18 21:49:37,70.6333,147.9167,-38.27,99,65,6.46
94,Grindavik,IS,2022-01-18 21:49:37,63.8424,-22.4338,34.27,86,75,25.32
95,Cape Town,ZA,2022-01-18 21:49:37,-33.9258,18.4232,66.09,63,20,1.01
96,Kahului,US,2022-01-18 21:48:33,20.8947,-156.47,80.62,69,20,6.91
97,Komarikhinskiy,RU,2022-01-18 21:49:38,58.0979,57.1163,25.79,94,100,9.93
98,Pacific Grove,US,2022-01-18 21:49:39,36.6177,-121.9166,66.11,77,0,1.01
99,Camacha,PT,2022-01-18 21:49:39,33.0833,-16.3333,62.53,72,20,16.11
100,Bredasdorp,ZA,2022-01-18 21:48:11,-34.5322,20.0403,62.28,72,100,4.61
101,Bodden Town,KY,2022-01-18 21:49:40,19.2833,-81.25,78.8,57,20,8.01
102,Honiara,SB,2022-01-18 21:46:57,-9.4333,159.95,83.88,73,92,1.41
103,Nirmal,IN,2022-01-18 21:49:40,19.1,78.35,66.33,61,3,1.74
104,Jiamusi,CN,2022-01-18 21:49:41,46.8333,130.35,-11.67,98,33,4.7
105,Kavieng,PG,2022-01-18 21:49:41,-2.5744,150.7967,81.99,78,100,7.56
106,Norrtalje,SE,2022-01-18 21:49:42,59.758,18.705,35.29,87,26,8.05
107,Dafeng,CN,2022-01-18 21:49:43,23.4517,108.5881,50.81,82,0,2.82
108,Eganville,CA,2022-01-18 21:49:44,45.5334,-77.0994,6.13,90,18,1.36
109,Guerrero Negro,MX,2022-01-18 21:49:44,27.9769,-114.0611,67.46,67,97,13.04
110,Minas,UY,2022-01-18 21:49:26,-34.3759,-55.2377,68.52,95,100,12.59
111,Ancud,CL,2022-01-18 21:49:45,-41.8697,-73.8203,67.53,52,4,6.4
112,Torbay,CA,2022-01-18 21:49:46,47.6666,-52.7314,41.29,96,100,34.52
113,Saldanha,ZA,2022-01-18 21:49:46,-33.0117,17.9442,62.65,76,47,13.44
114,Hamilton,US,2022-01-18 21:49:47,39.1834,-84.5333,40.41,69,100,1.01
115,Newcastle,AU,2022-01-18 21:49:38,-32.9272,151.7765,71.37,94,100,10.0
116,Husavik,IS,2022-01-18 21:48:51,66.0449,-17.3389,31.91,96,85,8.79
117,Puerto Leguizamo,CO,2022-01-18 21:49:47,-0.1934,-74.7819,82.98,66,96,1.72
118,Kapaa,US,2022-01-18 21:49:48,22.0752,-159.319,80.11,75,20,1.01
119,Vilyuysk,RU,2022-01-18 21:49:48,63.7553,121.6247,-26.0,94,11,5.14
120,Lebu,CL,2022-01-18 21:46:00,-37.6167,-73.65,58.98,65,73,14.99
121,Kuito,AO,2022-01-18 21:49:49,-12.3833,16.9333,64.44,69,98,8.86
122,Ribeira Grande,PT,2022-01-18 21:49:50,38.5167,-28.7,57.6,88,40,3.44
123,Dingle,PH,2022-01-18 21:49:50,10.9995,122.6711,73.09,95,98,6.89
124,Vila Velha,BR,2022-01-18 21:49:03,-20.3297,-40.2925,82.35,85,20,7.0
125,Chinhoyi,ZW,2022-01-18 21:49:51,-17.3667,30.2,64.47,89,100,3.33
126,Bud,US,2022-01-18 21:49:51,39.447,-86.1758,44.89,61,97,13.87
127,Fort Nelson,CA,2022-01-18 21:49:51,58.8053,-122.7002,-4.41,77,75,2.3
128,Vestmannaeyjar,IS,2022-01-18 21:49:52,63.4427,-20.2734,38.75,60,100,31.27
129,Livingston,GB,2022-01-18 21:49:52,55.9029,-3.5226,46.85,92,100,20.71
130,Nikolskoye,RU,2022-01-18 21:48:26,59.7035,30.7861,25.39,89,96,7.7
131,Fallon,US,2022-01-18 21:49:53,39.4735,-118.7774,55.27,48,75,0.0
132,Neiafu,TO,2022-01-18 21:49:54,-18.65,-173.9833,82.36,81,5,13.8
133,Hasaki,JP,2022-01-18 21:49:54,35.7333,140.8333,28.8,45,1,10.56
134,Fairbanks,US,2022-01-18 21:49:55,64.8378,-147.7164,8.82,81,100,0.0
135,Yelizovo,RU,2022-01-18 21:49:55,53.1873,158.3805,24.94,50,75,11.18
136,Paita,PE,2022-01-18 21:49:56,-5.0892,-81.1144,79.36,72,59,12.06
137,Gold Coast,AU,2022-01-18 21:45:14,-28.0,153.4333,83.34,85,75,4.61
138,Trinidad,BO,2022-01-18 21:49:56,-14.8333,-64.9,75.18,94,75,3.44
139,Nemuro,JP,2022-01-18 21:50:57,43.3236,145.575,31.08,71,90,23.11
